Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
25,"S Somasundaram, R Krishnamurthy, ...","Effect of process parameters on microstructural and mechanical properties of Ti− SS 304L explosive cladding",2017,"Journal of Central South …","Springer","https://link.springer.com/article/10.1007/s11771-017-3528-3","https://scholar.google.com/scholar?cites=4641466921012244331&as_sdt=2005&sciodt=0,5&hl=en",1,"2024-05-07 15:32:55","","10.1007/s11771-017-3528-3","","",,,,,25,3.57,8,3,7,"… The maximum tensile strength of Ti−SS 304L explosive claddings is 286 MPa (Table 3), which is close to tensile strength of SS 304L. The tensile strength of claddings increases with …","https://link.springer.com/content/pdf/10.1007/s11771-017-3528-3.pdf","https://scholar.google.com/scholar?q=related:ay-pt5LNaUAJ:scholar.google.com/&scioq=intitle:ss+intitle:304l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
1,"K Mohta, SK Gupta, J Chattopadhyay, C Soupramanien, ...","High temperature tensile and creep properties of SS 304L weld material of calandria",2021,"","inis.iaea.org","https://inis.iaea.org/search/search.aspx?orig_q=RN:52066984","https://scholar.google.com/scholar?cites=6264153043222505020&as_sdt=2005&sciodt=0,5&hl=en",2,"2024-05-07 15:32:55","","","","",,,,,1,0.33,0,5,3,"… These properties include yield strength (σys), UTS (ultimate tensile strength, σUTS), uniform … Uniform elongation and Ultimate tensile strength are evaluated as per ASTM E8 standard [5]…","https://inis.iaea.org/collection/NCLCollectionStore/_Public/52/066/52066984.pdf","https://scholar.google.com/scholar?q=related:PKb1_wC-7lYJ:scholar.google.com/&scioq=intitle:ss+intitle:304l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
9,"RR Kumar, JM Babu","Investigation and joint effect analysis of Ti-6AL-4V &SS-304L in aerospace applications",2020,"INCAS Bulletin","bulletin.incas.ro","https://bulletin.incas.ro/files/rames-kumar__babu__vol_12_iss_3.pdf","https://scholar.google.com/scholar?cites=10534077774457863094&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-05-07 15:32:55","PDF","","","",,,,,9,2.25,5,2,4,"… The tensile strength welded samples deformation elongation is 1.45%. The maximum displacement and deviation results of this investigation had shown 6.75 MPa. The titanium …","https://bulletin.incas.ro/files/rames-kumar__babu__vol_12_iss_3.pdf","https://scholar.google.com/scholar?q=related:tvvlhuyPMJIJ:scholar.google.com/&scioq=intitle:ss+intitle:304l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
1,"A Jaleel, CS Narayanan","Formability investigation of perforated austenitic SS 304L sheets using SPIF",2023,"Journal of Manufacturing Processes","Elsevier","https://www.sciencedirect.com/science/article/pii/S1526612523008344","https://scholar.google.com/scholar?cites=3353491409799133900&as_sdt=2005&sciodt=0,5&hl=en",4,"2024-05-07 15:32:55","HTML","","","",,,,,1,1.00,1,2,1,"… work on SPIF of SS 304L perforated sheet. The material SS 304L perforated sheet was … So, the objective of this work is to investigate the formability of perforated SS 304L sheets …","https://www.sciencedirect.com/science/article/pii/S1526612523008344","https://scholar.google.com/scholar?q=related:zLpmbqv-iS4J:scholar.google.com/&scioq=intitle:ss+intitle:304l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
2,"OS Sandeep, B Kuriachen","… of build direction and heat treatment on the microstructure and tensile characteristics of cold metal transfer based wire arc additive manufactured SS 304L",2023,"CIRP Journal of Manufacturing Science and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1755581723001335","https://scholar.google.com/scholar?cites=7431281248265310726&as_sdt=2005&sciodt=0,5&hl=en",5,"2024-05-07 15:32:55","HTML","","","",,,,,2,2.00,1,2,1,"… -strain behaviour of SS 304L. However, the … tensile strength compared to the other two directions of WAAM specimens and the specimens from conventionally manufactured SS 304L …","https://www.sciencedirect.com/science/article/pii/S1755581723001335","https://scholar.google.com/scholar?q=related:BhLgNOw2IWcJ:scholar.google.com/&scioq=intitle:ss+intitle:304l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
0,"SK Barik, RG Narayanan, N Sahoo","A Novel Method for Identification of Mechanical Properties During Impact Forming of SS 304L Sheet",2022,"Advances in Forming, Machining and …","Springer","https://link.springer.com/chapter/10.1007/978-981-19-3866-5_1","",6,"2024-05-07 15:32:55","","10.1007/978-981-19-3866-5_1","","",,,,,0,0.00,0,3,2,"… The yield strength and ultimate tensile strength obtained from the deformed sheet are higher than the base sheet. The strength coefficient (K) of the material raises significantly after …","","https://scholar.google.com/scholar?q=related:T82wvi3Iu7UJ:scholar.google.com/&scioq=intitle:ss+intitle:304l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
22,"H Zhang, M Xu, P Kumar, C Li, W Dai, Z Liu, ...","Enhancement of fatigue resistance of additively manufactured 304L SS by unique heterogeneous microstructure",2021,"Virtual and Physical …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/17452759.2021.1881869","https://scholar.google.com/scholar?cites=4639463920221458899&as_sdt=2005&sciodt=0,5&hl=en",7,"2024-05-07 15:32:55","","10.1080/17452759.2021.1881869","","",,,,,22,7.33,3,7,3,"… The obtained values of tensile strength are 690 and 694 MPa, respectively. The average fatigue life is 51,204 cycles. The calculated standard deviation of fatigue life is 5425 cycles, …","https://www.tandfonline.com/doi/full/10.1080/17452759.2021.1881869","https://scholar.google.com/scholar?q=related:05EKwdqvYkAJ:scholar.google.com/&scioq=intitle:ss+intitle:304l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
8,"CS Kriewall, AT Sutton, MC Leu, JW Newkirk, B Brown","Investigation of heat-affected 304L SS powder and its effect on built parts in selective laser melting",2016,"","scholarsmine.mst.edu","https://scholarsmine.mst.edu/mec_aereng_facwork/3695/","https://scholar.google.com/scholar?cites=2996558923531402340&as_sdt=2005&sciodt=0,5&hl=en",8,"2024-05-07 15:32:55","","","","",,,,,8,1.00,2,5,8,"… powder sample for a sample of sieved 304L SS and a sample taken from Location F. Additional characterization was performed on the sieved 304L SS sample as well as the powder …","https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=5221&context=mec_aereng_facwork","https://scholar.google.com/scholar?q=related:ZLyd6XbqlSkJ:scholar.google.com/&scioq=intitle:ss+intitle:304l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
0,"H Kadir, R Riswanda, AD Saragih, ...","Effect of Welding Parameter Conditions of 304L SS and AISI 1015 Dissimilar Steel Weld Joints to Macrostructure and Mechanical Properties",2022,"Materials Science …","Trans Tech Publ","https://www.scientific.net/MSF.1067.61","",9,"2024-05-07 15:32:55","","","","",,,,,0,0.00,0,4,2,"… 304L SS dissimilar steels with added materials and ER70S6 filler metal show that the tensile strength … For the welding current of 110A, the tensile strength was 367.2 MPa, and the yield …","https://www.scientific.net/MSF.1067.61.pdf","https://scholar.google.com/scholar?q=related:GbzdMYJraYcJ:scholar.google.com/&scioq=intitle:ss+intitle:304l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
1,"SD Phanindra, AHS Reddy","Electrochemical analysis of austenitic stainless steel of type 304L SS in nitric acid medium",2013,"","ethesis.nitrkl.ac.in","http://ethesis.nitrkl.ac.in/4915/","https://scholar.google.com/scholar?cites=15712582576441019978&as_sdt=2005&sciodt=0,5&hl=en",10,"2024-05-07 15:32:55","","","","",,,,,1,0.09,1,2,11,"… Austenitic stainless steels have high ductility, low yield stress and relatively high ultimate tensile strength, when compare to typical carbon steel. Carbon steel on cooling transforms from …","http://ethesis.nitrkl.ac.in/4915/1/109MM0555.pdf","https://scholar.google.com/scholar?q=related:Sk7CvJpODtoJ:scholar.google.com/&scioq=intitle:ss+intitle:304l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
7,"PW Ripley","Biaxial stress testing of SS-304L microtubes by axial load and internal pressure",2014,"","search.proquest.com","https://search.proquest.com/openview/317025a47a5a8bc4e4d0a331b233e56e/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?cites=17396585462983143816&as_sdt=2005&sciodt=0,5&hl=en",11,"2024-05-07 15:32:55","","","","",,,,,7,0.70,7,1,10,"… Stainless steel SS-304L was chosen as the material for this research because of its … seamless, fractional, fully annealed stainless steel 304L tube was purchased from Microgroup. The …","https://scholars.unh.edu/cgi/viewcontent.cgi?article=2003&context=thesis","https://scholar.google.com/scholar?q=related:iLHVuU4WbfEJ:scholar.google.com/&scioq=intitle:ss+intitle:304l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
