Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"IZ Era, Z Liu","Effect of process parameters on tensile properties of SS 316 prepared by directional energy deposition",2021,"Procedia CIRP","Elsevier","https://www.sciencedirect.com/science/article/pii/S2212827121008593","https://scholar.google.com/scholar?cites=5568532837991425159&as_sdt=2005&sciodt=0,5&hl=en",1,"2024-05-07 15:22:52","","","","",,,,,11,3.67,6,2,3,"… and number of shells on the tensile strength of specimens fabricated by 3D cooperative … The purpose of our work is to investigate and predict the correlation among tensile strength …","https://www.sciencedirect.com/science/article/pii/S2212827121008593/pdf?md5=34b354c99400e101fc1772910667d750&pid=1-s2.0-S2212827121008593-main.pdf","https://scholar.google.com/scholar?q=related:h6ST4BxnR00J:scholar.google.com/&scioq=intitle:ss+intitle:316+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
0,"S Roopa, SN Tirlangi, M Srikanth, A Nadeem","A Study of Mechanical Behaviour on Similar and Dissimilar Metals of Inconel 617and SS-316 using ATIG Welding Process",2021,"","academia.edu","https://www.academia.edu/download/76119776/IRJET_V8I11218.pdf","",2,"2024-05-07 15:22:52","PDF","","","",,,,,0,0.00,0,4,3,"… Also, SS 316 is used for low carbon austenic stainless steel in … The present investigation is on the Inconel 617 and SS 316 … Mechanical properties such as hardness, tensile strength …","https://www.academia.edu/download/76119776/IRJET_V8I11218.pdf","https://scholar.google.com/scholar?q=related:8S0D17Dp-H4J:scholar.google.com/&scioq=intitle:ss+intitle:316+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
43,"C Balaji, SVA Kumar, SA Kumar, R Sathish, ...","Evaluation of mechanical properties of SS 316 L weldments using tungsten inert gas welding",2012,"International Journal of …","idc-online.com","https://www.idc-online.com/technical_references/pdfs/mechanical_engineering/EVALUATION%20OF%20MECHANICAL.pdf","https://scholar.google.com/scholar?cites=9044655209824372779&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-05-07 15:22:52","PDF","","","",,,,,43,3.58,9,5,12,"… The result of tensile strength is discussed in the Table 3, the sample D … low tensile strength, sample G gives the high tensile strength and the sample I shows the medium tensile strength. …","https://www.idc-online.com/technical_references/pdfs/mechanical_engineering/EVALUATION%20OF%20MECHANICAL.pdf","https://scholar.google.com/scholar?q=related:K8h3If4RhX0J:scholar.google.com/&scioq=intitle:ss+intitle:316+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
14,"V Karthik, RV Kumar, A Vijayaragavan, ...","Characterization of mechanical properties and microstructure of highly irradiated SS 316",2013,"Journal of nuclear …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022311512002851","https://scholar.google.com/scholar?cites=3791395735440249974&as_sdt=2005&sciodt=0,5&hl=en",4,"2024-05-07 15:22:52","HTML","","","",,,,,14,1.27,4,4,11,"… the tensile strength and % uniform elongation of the SS 316 … It was seen that the ultimate tensile strength (UTS) of the … properties of the SS 316 wrapper, whereas in SS 316 cladding of …","https://www.sciencedirect.com/science/article/pii/S0022311512002851","https://scholar.google.com/scholar?q=related:dtTYbVW-nTQJ:scholar.google.com/&scioq=intitle:ss+intitle:316+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
1,"U Gürol, E Kocaman, S Dilibal, M Koçak","A comparative study on the microstructure, mechanical properties, wear and corrosion behaviors of SS 316 austenitic stainless steels manufactured by casting …",2023,"CIRP Journal of Manufacturing …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1755581723001530","https://scholar.google.com/scholar?cites=7773424400001578997&as_sdt=2005&sciodt=0,5&hl=en",5,"2024-05-07 15:22:52","HTML","","","",,,,,1,1.00,0,4,1,"… This work performed a comparative study on the stainless steel 316 parts manufactured by … The yield and tensile strength of WAAM parts showed an increasing trend with the increase …","https://www.sciencedirect.com/science/article/pii/S1755581723001530","https://scholar.google.com/scholar?q=related:9bdyck7A4GsJ:scholar.google.com/&scioq=intitle:ss+intitle:316+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
9,"A Kumar, A Babbar, V Jain, D Gupta, BP Pathri, ...","Investigation and enhancement of mechanical properties of SS-316 weldment using TiO2-SiO2-Al2O3 hybrid flux",2023,"International Journal on …","Springer","https://link.springer.com/article/10.1007/s12008-023-01198-8","https://scholar.google.com/scholar?cites=11412589406926227897&as_sdt=2005&sciodt=0,5&hl=en",6,"2024-05-07 15:22:52","HTML","10.1007/s12008-023-01198-8","","",,,,,9,9.00,2,6,1,"… and the response table for tensile strength of the A-TIG welding joint of SS-316 having a thickness of 3.50 … Table 10 ANOVA for the tensile strength of SS-316 joints with A-TIG welding …","https://link.springer.com/article/10.1007/s12008-023-01198-8","https://scholar.google.com/scholar?q=related:uUk5X5mpYZ4J:scholar.google.com/&scioq=intitle:ss+intitle:316+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
0,"V Karthik, A Vijayraghavan, CN Venkiteswaran, ...","Characterisation of mechanical properties and microstructure of SS 316 cladding and wrapper of FBTR",2011,"","osti.gov","https://www.osti.gov/etdeweb/biblio/21521240","",7,"2024-05-07 15:22:52","","","","",,,,,0,0.00,0,4,13,"… uses 20% cold worked austenitic stainless steel (AISI 316) as clad and wrapper material. Fast … both yield strength (YS) and ultimate tensile strength (UTS) at displacement damages >60 …","","https://scholar.google.com/scholar?q=related:wWsgXvp2fekJ:scholar.google.com/&scioq=intitle:ss+intitle:316+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
11,"A Ghosh, HG Brokmeier, NP Gurao","Orientation-dependent deformation micro-mechanism and failure analysis of SS 316 under tensile and cyclic load",2019,"International Journal of Fatigue","Elsevier","https://www.sciencedirect.com/science/article/pii/S0142112319301148","https://scholar.google.com/scholar?cites=886004794367729574&as_sdt=2005&sciodt=0,5&hl=en",8,"2024-05-07 15:22:52","HTML","","","",,,,,11,2.20,4,3,5,"… Insignificant difference in yield strength (YS), ultimate tensile strength (UTS), strain at UTS and strain hardening exponent (n) value of tensile samples SST0 and SST45 has been …","https://www.sciencedirect.com/science/article/pii/S0142112319301148","https://scholar.google.com/scholar?q=related:pt-Ujaq4SwwJ:scholar.google.com/&scioq=intitle:ss+intitle:316+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
2,"H Dahlan, AK Nasution, SA Zuhdi, M Rusli","Study of the Effect of Friction Time and Preheating on the Joint Mechanical Properties of Friction Welded SS 316-Pure Zn",2023,"Applied Sciences","mdpi.com","https://www.mdpi.com/2076-3417/13/2/988","https://scholar.google.com/scholar?cites=4687034013773335382&as_sdt=2005&sciodt=0,5&hl=en",9,"2024-05-07 15:22:52","HTML","","","",,,,,2,2.00,1,4,1,"… The tensile strength increased as a result of the reduced friction duration during the welding process, as demonstrated by the experimental findings. The longer the friction period, the …","https://www.mdpi.com/2076-3417/13/2/988","https://scholar.google.com/scholar?q=related:VgsiQZqwC0EJ:scholar.google.com/&scioq=intitle:ss+intitle:316+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
2,"R Yadav, G Kajal","Process Parameter Selection for Optimizing the Mechanical Properties of Stainless Steel (SS 202 &SS 316) in the Gas Tungsten Arc Welding",2018,"International Journal for Research in Applied …","researchgate.net","https://www.researchgate.net/profile/Gianender-Kajal/publication/364335549_Process_Parameter_Selection_for_Optimizing_the_Mechanical_Properties_of_Stainless_Steel_SS_202_SS_316_in_the_Gas_Tungsten_Arc_Welding/links/634ac183ff870c55ce27e4ee/Process-Parameter-Selection-for-Optimizing-the-Mechanical-Properties-of-Stainless-Steel-SS-202-SS-316-in-the-Gas-Tungsten-Arc-Welding.pdf","https://scholar.google.com/scholar?cites=9827619840995122748&as_sdt=2005&sciodt=0,5&hl=en",10,"2024-05-07 15:22:52","PDF","","","",,,,,2,0.33,1,2,6,"… , SS 202 and SS 316 types of austenitic stainless steels were welded by GTAW (Gas Tungsten Arc Welding) using SS 202 and SS 316 (… yield higher tensile strength values than pulsed …","https://www.researchgate.net/profile/Gianender-Kajal/publication/364335549_Process_Parameter_Selection_for_Optimizing_the_Mechanical_Properties_of_Stainless_Steel_SS_202_SS_316_in_the_Gas_Tungsten_Arc_Welding/links/634ac183ff870c55ce27e4ee/Process-Parameter-Selection-for-Optimizing-the-Mechanical-Properties-of-Stainless-Steel-SS-202-SS-316-in-the-Gas-Tungsten-Arc-Welding.pdf","https://scholar.google.com/scholar?q=related:PF4YKi24YogJ:scholar.google.com/&scioq=intitle:ss+intitle:316+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
