Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"E Gunawan, M Choifin, MK Rosidin, ...","… of the Effect of Current Flow Variations in GTAW on SS 400 Plate Material Connected with SUS 304 Stainless Steel Plate Against Tensile Strength and Hardness with …",2019,"Journal of Physics …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1742-6596/1175/1/012277/meta","https://scholar.google.com/scholar?cites=12456945900989959125&as_sdt=2005&sciodt=0,5&hl=en",1,"2024-05-07 15:22:56","","10.1088/1742-6596/1175/1/012277","","",,,,,11,2.20,3,4,5,"… obtained for SS 400 steel material with SUS 304 stainless … tests we can know for tensile strength in current welding 80 A (… it can be concluded that the highest tensile strength is found in …","https://iopscience.iop.org/article/10.1088/1742-6596/1175/1/012277/pdf","https://scholar.google.com/scholar?q=related:1cvDFkz236wJ:scholar.google.com/&scioq=intitle:ss+intitle:304+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
0,"A Prastyo, F Ibrahim, M Badaruddin","Analysis of Mechanical Properties of CD 304 SS at High-Temperature Transient Conditions",2022,"Jurnal Polimesin","e-jurnal.pnl.ac.id","http://e-jurnal.pnl.ac.id/polimesin/article/view/2995","",2,"2024-05-07 15:22:56","","","","",,,,,0,0.00,0,3,2,"… Stainless steel 304 is austenitic type steel that has a chrome … reported that to obtain the tensile strength of stainless steel at … Therefore, at present, the lack of studies on CD 304 SS under …","http://e-jurnal.pnl.ac.id/polimesin/article/viewFile/2995/3076","https://scholar.google.com/scholar?q=related:Pj75VsnNDJoJ:scholar.google.com/&scioq=intitle:ss+intitle:304+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
9,"S Dewangan, ...","RESEARCH PAPER ANALYSING EFFECT OF QUENCHING AND TEMPERING INTO MECHANICAL PROPERTIES AND MICROSTRUCTURE OF 304-SS …",2022,"Acta Metallurgica …","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/7f93/99aa88ac0baa1be2ec04ebbb0f877c40ae92.pdf","https://scholar.google.com/scholar?cites=17027330267251360070&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-05-07 15:22:56","PDF","","","",,,,,9,4.50,5,2,2,"… In the present work, two SS-304 welded plates were heat … In both the plates, mechanical properties like tensile strength, … and 6% reduction in ultimate tensile strength was obtained after …","https://pdfs.semanticscholar.org/7f93/99aa88ac0baa1be2ec04ebbb0f877c40ae92.pdf","https://scholar.google.com/scholar?q=related:RkHG1Kk6TewJ:scholar.google.com/&scioq=intitle:ss+intitle:304+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
1,"S Dewangan, S Saksham, A Chandra Paul, ...","… Analysis among Quenched, Tempered, and Stepped Cooled TIG Welded SS-304 Plates Based on Tensile Strength, Hardness, and Microstructural …",2023,"Advances in Materials …","hindawi.com","https://www.hindawi.com/journals/amse/2023/5523162/","https://scholar.google.com/scholar?cites=2645324518396223702&as_sdt=2005&sciodt=0,5&hl=en",4,"2024-05-07 15:22:56","HTML","","","",,,,,1,1.00,0,4,1,"… (i) Te tensile strength of SS-304-welded joint gets reduced after heat treatment. A reduction of 7.6%, 0.2%, 6.1%, and 7% in tensile strength was observed in sample 2, sample 3, sample …","https://www.hindawi.com/journals/amse/2023/5523162/","https://scholar.google.com/scholar?q=related:1mCjSqIUtiQJ:scholar.google.com/&scioq=intitle:ss+intitle:304+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
1,"A Pandey, R Shringi","Ranking Welding Processes for SS 304 to Maximize the Ultimate Tensile Joint Strength using AHP: A Benchmarking Study",2021,"Journal of The Institution of Engineers (India): Series …","Springer","https://link.springer.com/article/10.1007/s40032-021-00726-3","https://scholar.google.com/scholar?cites=10658842641056131835&as_sdt=2005&sciodt=0,5&hl=en",5,"2024-05-07 15:22:56","HTML","10.1007/s40032-021-00726-3","","",,,,,1,0.33,1,2,3,"… In this study, this tool is used for deciding on choosing the best fusion welding method for SS 304 stainless steel for attaining maximum tensile strength on the mentioned criteria. …","https://link.springer.com/article/10.1007/s40032-021-00726-3","https://scholar.google.com/scholar?q=related:--rvuOjQ65MJ:scholar.google.com/&scioq=intitle:ss+intitle:304+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
0,"R Singh, G Kocher","Effect of Groove Angle on Tensile Strength and Micro-hardness of AISI 304 SS GTA Welded Joints",2020,"","academia.edu","https://www.academia.edu/download/64693406/IRJET_V7I7636.pdf","",6,"2024-05-07 15:22:56","PDF","","","",,,,,0,0.00,0,2,4,"… In this research work an attempt has been made to check effect of groove angle on the tensile strength along with hardness of AISI 304 Stainless steel. As per literature GTAW welding …","https://www.academia.edu/download/64693406/IRJET_V7I7636.pdf","https://scholar.google.com/scholar?q=related:6Ny_sK7eFk0J:scholar.google.com/&scioq=intitle:ss+intitle:304+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
10,"A Mahajan, H Singh, S Kumar, S Kumar","Mechanical properties assessment of TIG welded SS 304 joints",2022,"Materials Today: Proceedings","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214785321078585","https://scholar.google.com/scholar?cites=15730534074064271914&as_sdt=2005&sciodt=0,5&hl=en",7,"2024-05-07 15:22:56","HTML","","","",,,,,10,5.00,3,4,2,"… Temperature field and weld pool geometry is SS 304 is predicted in this study. Through … SS 304. On the other hand filler material Er 316L showed a reduced amount of tensile strength ie …","https://www.sciencedirect.com/science/article/pii/S2214785321078585","https://scholar.google.com/scholar?q=related:KnrHe2UVTtoJ:scholar.google.com/&scioq=intitle:ss+intitle:304+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
7,"SR Elmi Hosseini, K Feng, P Nie, K Zhang, ...","Enhanced strength of 304 SS-Ti6Al4V laser-welded joints containing composite interlayers",2018,"Journal of Materials …","Springer","https://link.springer.com/article/10.1007/s11665-018-3634-x","https://scholar.google.com/scholar?cites=6694818274525733337&as_sdt=2005&sciodt=0,5&hl=en",8,"2024-05-07 15:22:56","HTML","10.1007/s11665-018-3634-x","","",,,,,7,1.17,1,5,6,"… This article aims to increase the tensile strength of the dissimilar Ti6Al4V alloy and 304 SS using Cu-V or Cu-Ni composite interlayers. This article also aims to determine the joint …","https://link.springer.com/article/10.1007/s11665-018-3634-x","https://scholar.google.com/scholar?q=related:2WHmAMDF6FwJ:scholar.google.com/&scioq=intitle:ss+intitle:304+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
11,"N Ramadan, A Boghdadi","Parametric optimization of TIG welding influence on tensile strength of dissimilar metals SS-304 and low carbon steel by using Taguchi approach",2020,"Am. J. Eng. Res","researchgate.net","https://www.researchgate.net/profile/Nizar-Ramadan/publication/344158866_Parametric_Optimization_of_TIG_Welding_Influence_On_Tensile_Strength_of_Dissimilar_Metals_SS-304_And_Low_Carbon_Steel_by_Using_Taguchi_Approach/links/5f56b5c9299bf13a31aaf15b/Parametric-Optimization-of-TIG-Welding-Influence-On-Tensile-Strength-of-Dissimilar-Metals-SS-304-And-Low-Carbon-Steel-by-Using-Taguchi-Approach.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail","https://scholar.google.com/scholar?cites=2430181674812565848&as_sdt=2005&sciodt=0,5&hl=en",9,"2024-05-07 15:22:56","PDF","","","",,,,,11,2.75,6,2,4,"… on the tensile strength of various metals SS-304 and low … often occurs due to low tensile strength. The process designed by … In mean and Signal to Noise Ratios of Tensile Strength, it …","https://www.researchgate.net/profile/Nizar-Ramadan/publication/344158866_Parametric_Optimization_of_TIG_Welding_Influence_On_Tensile_Strength_of_Dissimilar_Metals_SS-304_And_Low_Carbon_Steel_by_Using_Taguchi_Approach/links/5f56b5c9299bf13a31aaf15b/Parametric-Optimization-of-TIG-Welding-Influence-On-Tensile-Strength-of-Dissimilar-Metals-SS-304-And-Low-Carbon-Steel-by-Using-Taguchi-Approach.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail","https://scholar.google.com/scholar?q=related:WOndilu9uSEJ:scholar.google.com/&scioq=intitle:ss+intitle:304+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
3,"RP Naik, M Samatham, VK Patangay, ...","Experimental Study on the Effect of Annealing on Fatigue Life of SS 304 Steels",2020,"Int. J. Sci. Res. Sci. Eng …","academia.edu","https://www.academia.edu/download/65388173/6211.pdf","https://scholar.google.com/scholar?cites=1150346313746508572&as_sdt=2005&sciodt=0,5&hl=en",10,"2024-05-07 15:22:56","PDF","","","",,,,,3,0.75,1,4,4,"… Normally, the fatigue strength increases as the static tensile strength increases. For example, high-strength steels heat treated to over 1400 MPa yield strengths have much higher …","https://www.academia.edu/download/65388173/6211.pdf","https://scholar.google.com/scholar?q=related:HGuKp-DZ9g8J:scholar.google.com/&scioq=intitle:ss+intitle:304+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
