Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"M Keomoungkhoune","A Comparative Analysis of Microstructural Characterization and Mechanical Performance of SS 316L Metal Specimens Fabricated by Directed Energy …",2021,"","search.proquest.com","https://search.proquest.com/openview/e3dd431405b5c00b3522ad3cdecb3a12/1?pq-origsite=gscholar&cbl=18750&diss=y","",1,"2024-05-07 15:40:50","BOOK","","","",,,,,0,0.00,0,1,3,"… Stainless Steel” demonstrated that LENS-produced stainless-steel specimens displayed greater ultimate tensile strength (UTS) and yield strength than cast and wrought materials. The …","https://search.proquest.com/openview/e3dd431405b5c00b3522ad3cdecb3a12/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:eAO7njJ5U7cJ:scholar.google.com/&scioq=intitle:ss+intitle:316l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
38,"C Morsiya","A review on parameters affecting properties of biomaterial SS 316L",2022,"Australian Journal of Mechanical Engineering","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/14484846.2020.1752975","https://scholar.google.com/scholar?cites=5497777333504158953&as_sdt=2005&sciodt=0,5&hl=en",2,"2024-05-07 15:40:50","","10.1080/14484846.2020.1752975","","",,,,,38,19.00,38,1,2,"… and concluded that cast component has tensile strength of nearly 450 MPa and Yield Strength 200 MPa. They have mentioned that Commercial 316L SS was used during testing but …","https://www.tandfonline.com/doi/pdf/10.1080/14484846.2020.1752975","https://scholar.google.com/scholar?q=related:6ay1OVsHTEwJ:scholar.google.com/&scioq=intitle:ss+intitle:316l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
30,"P Stoll, A Spierings, K Wegener","Impact of a process interruption on tensile properties of SS 316L parts and hybrid parts produced with selective laser melting",2019,"The International Journal of Advanced …","Springer","https://link.springer.com/article/10.1007/s00170-019-03560-1","https://scholar.google.com/scholar?cites=12578013996073099150&as_sdt=2005&sciodt=0,5&hl=en",3,"2024-05-07 15:40:50","","10.1007/s00170-019-03560-1","","",,,,,30,6.00,10,3,5,"… Both yield strength Rp0.2 and ultimate tensile strength Rm dropped by 13% for horizontally orientated tensile bars and by 18% for vertical samples. True stress for both horizontal and …","https://link.springer.com/content/pdf/10.1007/s00170-019-03560-1.pdf","https://scholar.google.com/scholar?q=related:jh_UlxYVjq4J:scholar.google.com/&scioq=intitle:ss+intitle:316l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
0,"BA Smith","The Effect of Geometric Defects and Porosity on the Mechanical Behavior of Additively Manufactured SS 316L and AlSi10Mg Components",2019,"","search.proquest.com","https://search.proquest.com/openview/1a925113554ca0702742036bf78f73f2/1?pq-origsite=gscholar&cbl=18750&diss=y","",4,"2024-05-07 15:40:50","HTML","","","",,,,,0,0.00,0,1,5,"… yield strength, 31.2% lower ultimate tensile strength, and 67.8% lower ductility compared to … specimens decreased the yield strength and ultimate tensile strength by 47.7% and 35.5%, …","https://search.proquest.com/openview/1a925113554ca0702742036bf78f73f2/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:XIqhcxocSVoJ:scholar.google.com/&scioq=intitle:ss+intitle:316l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
0,"G Maizza, F Hafeez, A Varone, R Montanari","Nanoscale and Tensile-Like Properties by an Instrumented Indentation Test on PBF-LB SS 316L Steel",2024,"Materials","mdpi.com","https://www.mdpi.com/1996-1944/17/1/255","",5,"2024-05-07 15:40:50","HTML","","","",,,,,0,0.00,0,4,1,"… of either SS 316L steel or its PBF-… tensile strength (600 ± 1 MPa). Since our primary goal has been to explore the plastic behavior of PBF-LB SS 316L toward its ultimate tensile strength (…","https://www.mdpi.com/1996-1944/17/1/255","https://scholar.google.com/scholar?q=related:smewNSqTW5sJ:scholar.google.com/&scioq=intitle:ss+intitle:316l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
215,"JJ Marattukalam, D Karlsson, V Pacheco, P Beran…","The effect of laser scanning strategies on texture, mechanical properties, and site-specific grain orientation in selective laser melted 316L SS",2020,"Materials &Design","Elsevier","https://www.sciencedirect.com/science/article/pii/S0264127520303865","https://scholar.google.com/scholar?cites=10113087628541972161&as_sdt=2005&sciodt=0,5&hl=en",6,"2024-05-07 15:40:50","HTML","","","",,,,,215,53.75,43,5,4,"… However, a Hall-Petch type correlation between the yield and ultimate tensile strength with intragranular cell spacing was not observed in the present study. This could be due to the …","https://www.sciencedirect.com/science/article/pii/S0264127520303865","https://scholar.google.com/scholar?q=related:wU6k4Z3nWIwJ:scholar.google.com/&scioq=intitle:ss+intitle:316l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
3,"N Dixit, C Gandhi, O Aranke, T Dhode, G Koshy…","Study of computational analysis and mechanical properties of SS 316L fabricated using LaserCUSING® technology",2018,"Materials today …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214785318324520","https://scholar.google.com/scholar?cites=16691542082022593267&as_sdt=2005&sciodt=0,5&hl=en",7,"2024-05-07 15:40:50","","","","",,,,,3,0.50,1,6,6,"… melting (SLM) of a commercial SS 316L powder to enhance the mechanical properties and … high tensile strength and a stable Young’s modulus that are similar to casted SS 316L parts. …","https://www.academia.edu/download/90336297/j.matpr.2018.10.15720220827-1-yfg3fa.pdf","https://scholar.google.com/scholar?q=related:89JwiBZFpOcJ:scholar.google.com/&scioq=intitle:ss+intitle:316l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
1,"IZ Era, M Grandhi, Z Liu","Prediction of mechanical behaviors of additively manufactured SS 316L via machine learning",2022,"","researchsquare.com","https://www.researchsquare.com/article/rs-1393827/latest","https://scholar.google.com/scholar?cites=10738905454297253691&as_sdt=2005&sciodt=0,5&hl=en",8,"2024-05-07 15:40:50","","","","",,,,,1,0.50,0,3,2,"… L (SS 316L) powder (45~105 micron) is used in this study because it has higher creep, higher tensile strength properties, and … The chemical composition of SS 316L is shown in Table 2. …","https://www.researchsquare.com/article/rs-1393827/latest.pdf","https://scholar.google.com/scholar?q=related:O4fkD51BCJUJ:scholar.google.com/&scioq=intitle:ss+intitle:316l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
2,"DD Deshmukh, Y Kharche","Influence of processing conditions on the tensile strength and failure pattern of resistance spot welded SS 316L sheet joint",2023,"International Journal on Interactive Design …","Springer","https://link.springer.com/article/10.1007/s12008-023-01465-8","https://scholar.google.com/scholar?cites=883832301905748363&as_sdt=2005&sciodt=0,5&hl=en",9,"2024-05-07 15:40:50","HTML","10.1007/s12008-023-01465-8","","",,,,,2,2.00,1,2,1,"… SS 316L steel based on the response surface method for numerous impacting index parameters such as squeeze time, weld time 1, hold time, weld time 2 and electrode force. SS 316L …","https://link.springer.com/article/10.1007/s12008-023-01465-8","https://scholar.google.com/scholar?q=related:i6EbvMsARAwJ:scholar.google.com/&scioq=intitle:ss+intitle:316l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
0,"N Vinay, AK Shukla","Experimental analysis on the effects of process parameters on DMLS Fabricated Tensile Coupons SS-316L",2023,"Journal of Engineering Sciences","jespublication.com","https://jespublication.com/uploads/2023-V14I1205.pdf","",10,"2024-05-07 15:40:50","PDF","","","",,,,,0,0.00,0,2,1,"… 4.2: Results for Ultimate Tensile strength Each test specimen's ultimate tensile strength is noted and shown visually. The various process parameters and their levels were written on the …","https://jespublication.com/uploads/2023-V14I1205.pdf","https://scholar.google.com/scholar?q=related:47Rnau_oA8EJ:scholar.google.com/&scioq=intitle:ss+intitle:316l+%22tensile+strength%22&hl=en&as_sdt=0,5&as_vis=1"
